,Mean_4Months,latitude,longitude
PC1,0.6891792648600602,-0.6873265507734099,0.22937775282026374
PC2,-0.15359717560761132,0.17079018190387285,0.9732618462729373
PC3,0.7081241759270134,0.7059836587111405,-0.012133635090909728
